;estado;cidade;pib;populacao;pib_percapita;sigla;regiao
5062;SANTA CATARINA;São Bernardino;41336.984375;2633;15699.58007812;SC;SUL
5063;BAHIA;Elísio Medrado;30162.81640625;8183;3686.0300293;BA;NORDESTE
5064;MINAS GERAIS;Montes Claros;3815101.25;363227;10503.34960938;MG;SUDESTE
5065;ALAGOAS;Igaci;81381.578125;25865;3146.39990234;AL;NORDESTE
5066;PARAÍBA;São João do Cariri;21729.8828125;4563;4762.18994141;;
5067;MINAS GERAIS;Santa Rita de Jacutinga;49552.31640625;5869;8443.05957031;MG;SUDESTE
5068;SANTA CATARINA;Santa Rosa de Lima;31747.20898438;2103;15096.15039062;SC;SUL
5069;SANTA CATARINA;Garuva;276213.59375;14281;19341.33007812;SC;SUL
5070;AMAZONAS;Anori;74464.953125;14688;5069.77978516;AM;NORTE
5071;MINAS GERAIS;Cuparaque;25417.3125;4561;5572.75;MG;SUDESTE
5072;SANTA CATARINA;Balneário Camboriú;1712670.375;102081;16777.56054688;SC;SUL
5073;CEARÁ;Cascavel;388962.96875;67956;5723.75;;
5074;BAHIA;Amargosa;162852.53125;35278;4616.25976562;BA;NORDESTE
5075;RIO DE JANEIRO;Itaperuna;1283837.125;99454;12908.84960938;RJ;SUDESTE
5076;RONDÔNIA;Vale do Anari;114088.8984375;9100;12537.24023438;;
5077;SÃO PAULO;Barrinha;267717.03125;27169;9853.76953125;;
5078;SÃO PAULO;Pirajuí;207463.359375;22192;9348.55957031;;
5079;SÃO PAULO;Chavantes;208633.546875;12688;16443.36914062;;
5080;GOIÁS;Bonópolis;37179.375;3413;10893.45996094;;
5081;CEARÁ;Barro;77142.3359375;21556;3578.68994141;;
5082;MARANHÃO;Turiaçu;120007.84375;33649;3566.45996094;;
5083;MINAS GERAIS;Couto de Magalhães de Minas;21101.953125;4560;4627.62011719;MG;SUDESTE
5084;MINAS GERAIS;Varjão de Minas;89225.984375;6520;13684.96972656;MG;SUDESTE
5085;MATO GROSSO DO SUL;Deodápolis;102620.125;11600;8846.55957031;MS;CENTRO-OESTE
5086;MINAS GERAIS;Felixlândia;146535.953125;14287;10256.58984375;MG;SUDESTE
5087;PERNAMBUCO;São João;94844.265625;22087;4294.12011719;PE;NORDESTE
5088;MATO GROSSO;União do Sul;95659.96875;4093;23371.59960938;MT;CENTRO-OESTE
5089;SANTA CATARINA;Curitibanos;541725.9375;39045;13874.40039062;SC;SUL
5090;PARAÍBA;Itatuba;52518.5;10182;5157.97021484;;
5091;GOIÁS;Santa Tereza de Goiás;29901.0078125;4141;7220.72021484;;
5092;RIO GRANDE DO SUL;Taquaruçu do Sul;35305.75390625;2925;12070.33984375;RS;SUL
5093;MARANHÃO;Aldeias Altas;101972.6640625;22667;4498.72998047;;
5094;SÃO PAULO;Salesópolis;153077.25;16041;9542.87011719;;
5095;PARAÍBA;Santana de Mangueira;22390.44921875;5764;3884.5300293;;
5096;GOIÁS;Anicuns;241263.75;18027;13383.46972656;;
5097;SÃO PAULO;Meridiano;42162.82421875;3929;10731.1796875;;
5098;RONDÔNIA;Cujubim;193657.34375;14889;13006.74023438;;
5099;TOCANTINS;Santa Terezinha do Tocantins;14389.21777344;2343;6141.35986328;TO;NORTE
5100;PARANÁ;Xambrê;43094.00390625;5829;7393.04003906;;
5101;PIAUÍ;Ribeiro Gonçalves;94873.359375;6869;13811.8203125;;
5102;GOIÁS;Cristianópolis;28858.2109375;3174;9092.05957031;;
5103;GOIÁS;Niquelândia;689136.6875;39803;17313.68945312;;
5104;PARANÁ;Ariranha do Ivaí;26521.0625;2533;10470.21972656;;
5105;SÃO PAULO;Itaquaquecetuba;2861017.25;359253;7963.79980469;;
5106;ESPIRITO SANTO;Vila Valério;184566.296875;14048;13138.25976562;ES;SUDESTE
5107;PIAUÍ;Boqueirão do Piauí;17958.12109375;6599;2721.34008789;;
