;estado;cidade;pib;populacao;pib_percapita;sigla;regiao
1501;PARANÁ;Apucarana;1511202.25;121290;12459.41015625;;
1502;MINAS GERAIS;Rio Casca;108061.46875;14790;7306.39013672;MG;SUDESTE
1503;RIO GRANDE DO SUL;Sananduva;277202.40625;15216;18217.8203125;RS;SUL
1504;PERNAMBUCO;Itacuruba;19219.95507812;4358;4410.27001953;PE;NORDESTE
1505;MINAS GERAIS;Fortaleza de Minas;133684.859375;3986;33538.6015625;MG;SUDESTE
1506;RIO GRANDE DO SUL;São Pedro da Serra;28525.84765625;3311;8615.48046875;RS;SUL
1507;MINAS GERAIS;Josenópolis;19152.56445312;4636;4131.27001953;MG;SUDESTE
1508;MINAS GERAIS;Sem-Peixe;16147.79492188;2993;5395.18994141;MG;SUDESTE
1509;MATO GROSSO;Alto Paraguai;65186.01953125;8329;7826.39013672;MT;CENTRO-OESTE
1510;CEARÁ;Groaíras;33190.703125;9971;3328.7199707;;
1511;SÃO PAULO;Gastão Vidigal;37278.69921875;4118;9052.62011719;;
1512;RIO GRANDE DO SUL;Santa Cecília do Sul;28719.18554688;1776;16170.70996094;RS;SUL
1513;BAHIA;Mucugê;229213.171875;14714;15577.90039062;BA;NORDESTE
1514;SÃO PAULO;Mendonça;48696.28515625;4217;11547.61035156;;
1515;RIO DE JANEIRO;Quissamã;1810872.25;19878;91099.3203125;RJ;SUDESTE
1516;SÃO PAULO;Pedro de Toledo;70778.8984375;10254;6902.56005859;;
1517;PIAUÍ;Santa Luz;17753.984375;5495;3230.92993164;;
1518;MINAS GERAIS;Águas Vermelhas;89496.1796875;13301;6728.52978516;MG;SUDESTE
1519;PERNAMBUCO;Lagoa do Carro;59924.1796875;15230;3934.61010742;PE;NORDESTE
1520;BAHIA;Iraquara;105232.5078125;24415;4310.16015625;BA;NORDESTE
1521;BAHIA;Jacaraci;49422.328125;14837;3331.02001953;BA;NORDESTE
1522;SÃO PAULO;Santa Albertina;56413.41796875;4992;11300.75976562;;
1523;MINAS GERAIS;Itamogi;82634.859375;11218;7366.27001953;MG;SUDESTE
1524;MARANHÃO;São Francisco do Brejão;45696.53125;8863;5155.87988281;;
1525;PARANÁ;Irati;682697.9375;56483;12086.79003906;;
1526;GOIÁS;Porangatu;332653.25;40469;8219.95019531;;
1527;PIAUÍ;Assunção do Piauí;23011.68359375;8370;2749.31005859;;
1528;SERGIPE;General Maynard;13834.29785156;2907;4758.95996094;SE;NORDESTE
1529;MINAS GERAIS;Tombos;55267.80078125;8881;6223.14990234;MG;SUDESTE
1530;SANTA CATARINA;Herval D'Oeste;326972.25;19323;16921.40039062;SC;SUL
1531;SÃO PAULO;Adamantina;531913.5;34424;15451.8203125;;
1532;MINAS GERAIS;Ipiaçu;51452.1875;4374;11763.19042969;MG;SUDESTE
1533;PARANÁ;Mallet;149617.28125;12784;11703.48046875;;
1534;SÃO PAULO;Platina;49894.515625;3407;14644.70996094;;
1535;AMAPÁ;Calçoene;107248.828125;9291;11543.29980469;;
1536;ESPIRITO SANTO;Montanha;197230.15625;18856;10459.80957031;ES;SUDESTE
1537;ALAGOAS;Ouro Branco;32711.80273438;11504;2843.52001953;AL;NORDESTE
1538;SÃO PAULO;Iguape;252515.78125;30675;8231.96972656;;
1539;BAHIA;Itacaré;102075.2734375;27170;3756.90991211;BA;NORDESTE
1540;RIO GRANDE DO SUL;Derrubadas;41730.37890625;3391;12306.21972656;RS;SUL
1541;CEARÁ;Mauriti;169606.5625;44211;3836.30004883;;
1542;ALAGOAS;Junqueiro;98153.7734375;25290;3881.12988281;AL;NORDESTE
1543;RIO GRANDE DO NORTE;Parelhas;109494.6875;20676;5295.74023438;RN;NORDESTE
1544;PARANÁ;Perobal;67708.015625;5163;13114.08007812;;
1545;PARANÁ;Borrazópolis;93202.4921875;8235;11317.84960938;;
1546;GOIÁS;Piracanjuba;362217.96875;24033;15071.69042969;;
1547;RIO GRANDE DO SUL;São Gabriel;798197.0;59337;13451.9296875;RS;SUL
1548;RIO GRANDE DO SUL;Picada Café;153711.953125;5039;30504.4609375;RS;SUL
1549;MINAS GERAIS;Limeira do Oeste;130177.796875;6792;19166.33984375;MG;SUDESTE
1550;PARANÁ;Medianeira;637894.1875;39857;16004.5703125;;
1551;PERNAMBUCO;Serra Talhada;543937.5;80294;6774.31982422;PE;NORDESTE
1552;SÃO PAULO;Colômbia;144238.203125;6345;22732.58007812;;
1553;PARANÁ;Doutor Camargo;60953.90625;5753;10595.15039062;;
1554;PARANÁ;Sertaneja;102978.7890625;5924;17383.3203125;;
1555;SÃO PAULO;Redenção da Serra;36065.66015625;4245;8496.03027344;;
1556;MINAS GERAIS;Ribeirão Vermelho;37746.41796875;3938;9585.16992188;MG;SUDESTE
1557;RONDÔNIA;Nova União;69908.515625;7944;8800.16992188;;
1558;RIO GRANDE DO NORTE;Januário Cicco;39116.64453125;8629;4533.16015625;RN;NORDESTE
1559;SÃO PAULO;Pompéia;465391.53125;20168;23075.74023438;;
1560;PARANÁ;Jardim Olinda;21127.85546875;1494;14141.79980469;;
1561;PERNAMBUCO;Jataúba;59477.77734375;15365;3870.98999023;PE;NORDESTE
1562;RIO GRANDE DO SUL;Bom Jesus;197372.390625;12201;16176.74023438;RS;SUL
1563;BAHIA;Itororó;77047.1640625;20930;3681.17993164;BA;NORDESTE
1564;ALAGOAS;São Brás;27549.03125;7062;3901.02001953;AL;NORDESTE
1565;PIAUÍ;Anísio de Abreu;25927.50585938;8552;3031.75;;
1566;ALAGOAS;Traipu;68499.6875;25854;2649.47998047;AL;NORDESTE
1567;SÃO PAULO;Conchal;369008.0625;24485;15070.78027344;;
1568;PARANÁ;Roncador;148181.59375;12309;12038.48046875;;
1569;SÃO PAULO;Álvares Machado;199326.484375;23779;8382.45996094;;
1570;PARANÁ;Salto do Itararé;36764.2578125;5134;7160.93994141;;
1571;MARANHÃO;Grajaú;277077.53125;56633;4892.50976562;;
1572;MINAS GERAIS;Setubinha;37165.37890625;11588;3207.22998047;MG;SUDESTE
1573;RIO GRANDE DO SUL;Pinheirinho do Vale;49996.953125;4635;10786.83007812;RS;SUL
1574;TOCANTINS;Araguatins;152885.484375;26771;5710.85986328;TO;NORTE
1575;MINAS GERAIS;Ponte Nova;687477.875;57654;11924.20019531;MG;SUDESTE
1576;TOCANTINS;Taguatinga;110298.09375;14655;7526.31005859;TO;NORTE
1577;PERNAMBUCO;Salgueiro;315104.03125;55435;5684.20996094;PE;NORDESTE
1578;SÃO PAULO;Santa Ernestina;43545.33984375;5618;7751.04003906;;
1579;MARANHÃO;Magalhães de Almeida;59104.46484375;14808;3991.38989258;;
1580;MINAS GERAIS;Itapagipe;234536.9375;15043;15591.09960938;MG;SUDESTE
1581;SÃO PAULO;Santo Antônio do Jardim;78237.4609375;5785;13524.19042969;;
1582;BAHIA;Ourolândia;76238.53125;17080;4463.60986328;BA;NORDESTE
1583;SANTA CATARINA;Palhoça;1693864.25;130878;12942.30957031;SC;SUL
1584;SÃO PAULO;Macaubal;84924.5390625;7672;11069.41015625;;
1585;GOIÁS;Caldazinha;33231.0546875;3341;9946.44042969;;
1586;MINAS GERAIS;Itamonte;262661.75;14611;17976.99023438;MG;SUDESTE
1587;BAHIA;Aracatu;43216.1328125;14316;3018.72998047;BA;NORDESTE
1588;PERNAMBUCO;Pombos;106317.171875;22120;4806.37988281;PE;NORDESTE
1589;PERNAMBUCO;Tracunhaém;63237.58984375;13265;4767.25;PE;NORDESTE
1590;PARAÍBA;Catolé do Rocha;146767.578125;28468;5155.52978516;;
1591;MATO GROSSO;Itanhangá;129650.5390625;5061;25617.5703125;MT;CENTRO-OESTE
1592;MINAS GERAIS;São Pedro do Suaçuí;31461.02148438;5925;5309.87988281;MG;SUDESTE
1593;SANTA CATARINA;Bocaina do Sul;48069.1328125;3128;15367.37011719;SC;SUL
1594;PERNAMBUCO;João Alfredo;121253.921875;29875;4058.70996094;PE;NORDESTE
1595;BAHIA;Vitória da Conquista;3142676.75;318901;9854.70996094;BA;NORDESTE
1596;PERNAMBUCO;Chã Grande;92091.6328125;17924;5137.89990234;PE;NORDESTE
1597;RONDÔNIA;Buritis;326336.875;34693;9406.41992188;;
1598;PARAÍBA;Solânea;108521.9921875;27951;3882.58007812;;
1599;MINAS GERAIS;Amparo do Serra;25285.09570312;5362;4715.60986328;MG;SUDESTE
1600;PARÁ;Rondon do Pará;244986.21875;47772;5128.24023438;;
1601;SÃO PAULO;Vargem Grande do Sul;435658.78125;39160;11125.09960938;;
1602;SÃO PAULO;Marapoama;81859.9609375;2780;29446.02929688;;
1603;BAHIA;Condeúba;64649.53125;17210;3756.51000977;BA;NORDESTE
1604;BAHIA;Jacobina;523242.1875;79013;6622.22998047;BA;NORDESTE
1605;RIO GRANDE DO SUL;Piratini;191053.515625;21180;9020.46972656;RS;SUL
1606;RIO GRANDE DO SUL;Crissiumal;168315.0625;15096;11149.65039062;RS;SUL
1607;MINAS GERAIS;Senhora dos Remédios;48332.01171875;10588;4564.79003906;MG;SUDESTE
1608;GOIÁS;Leopoldo de Bulhões;90110.171875;9518;9467.33984375;;
1609;RIO GRANDE DO NORTE;Parnamirim;1963383.5;184222;10657.70019531;RN;NORDESTE
1610;MINAS GERAIS;Medeiros;51101.86328125;3398;15038.80957031;MG;SUDESTE
1611;PARANÁ;Brasilândia do Sul;49819.625;3260;15282.08984375;;
1612;PARANÁ;Marialva;430093.0625;31397;13698.54003906;;
1613;BAHIA;Mascote;57532.8671875;16590;3467.91992188;BA;NORDESTE
1614;SÃO PAULO;Taubaté;8324691.0;273426;30445.859375;;
1615;SÃO PAULO;Motuca;68719.6796875;4691;14649.25976562;;
1616;SÃO PAULO;São Sebastião;3043796.25;73631;41338.51171875;;
1617;PARÁ;Soure;81680.953125;22459;3636.88989258;;
1618;CEARÁ;Morrinhos;68998.65625;22695;3040.26000977;;
1619;RIO GRANDE DO SUL;Roque Gonzales;86025.9296875;7394;11634.55957031;RS;SUL
1620;ALAGOAS;Campestre;25780.65820312;6178;4172.97998047;AL;NORDESTE
1621;PARANÁ;Enéas Marques;81526.875;6066;13439.96972656;;
1622;PARÁ;Gurupá;79299.140625;25511;3108.42993164;;
1623;PIAUÍ;Dom Expedito Lopes;31609.2890625;6793;4653.20996094;;
1624;RIO GRANDE DO NORTE;Passagem;13935.78613281;2703;5155.66992188;RN;NORDESTE
1625;SERGIPE;Aracaju;7069448.0;544039;12994.37988281;SE;NORDESTE
1626;SÃO PAULO;Orlândia;787616.25;37534;20984.08007812;;
1627;MARANHÃO;Junco do Maranhão;28271.05273438;3950;7157.22998047;;
1628;MATO GROSSO;Juruena;91460.1015625;9595;9532.05957031;MT;CENTRO-OESTE
1629;BAHIA;Cardeal da silva;48083.140625;8618;5579.39013672;BA;NORDESTE
1630;MARANHÃO;Pinheiro;316422.09375;77182;4099.68994141;;
1631;BAHIA;Jaguaquara;246394.6875;48206;5111.29003906;BA;NORDESTE
1632;SÃO PAULO;Iracemápolis;520704.3125;19700;26431.68945312;;
1633;RIO GRANDE DO SUL;Selbach;96666.890625;4912;19679.74023438;RS;SUL
1634;PARANÁ;Santa Izabel do Oeste;122608.90625;11747;10437.46972656;;
1635;SANTA CATARINA;Princesa;33004.6796875;2687;12283.09960938;SC;SUL
1636;CEARÁ;Pentecoste;149833.015625;35166;4260.74023438;;
1637;BAHIA;Gandu;173949.265625;31819;5466.83984375;BA;NORDESTE
1638;SÃO PAULO;Cajati;472912.3125;28936;16343.38964844;;
1639;GOIÁS;Goiatuba;708512.5625;32304;21932.66015625;;
1640;RIO GRANDE DO NORTE;Ipueira;13287.04785156;2115;6282.29003906;RN;NORDESTE
1641;MARANHÃO;Luís Domingues;28483.0703125;6997;4070.75;;
1642;MINAS GERAIS;Guaraciama;23972.3203125;4728;5070.29003906;MG;SUDESTE
1643;SÃO PAULO;Salmourão;53295.08203125;4779;11151.9296875;;
1644;SÃO PAULO;Santo Antônio do Pinhal;56594.77734375;6896;8206.90039062;;
1645;SANTA CATARINA;Leoberto Leal;57065.5078125;3674;15532.25976562;SC;SUL
1646;BAHIA;Itaguaçu da Bahia;49661.08984375;13269;3742.63989258;BA;NORDESTE
1647;RIO DE JANEIRO;Duas Barras;145481.40625;10891;13357.95019531;RJ;SUDESTE
1648;SÃO PAULO;Queluz;78831.6953125;11197;7040.43017578;;
1649;RIO GRANDE DO SUL;Glorinha;188674.734375;7531;25053.08007812;RS;SUL
1650;SERGIPE;Pinhão;31870.4765625;5809;5486.39990234;SE;NORDESTE
1651;PERNAMBUCO;São Lourenço da Mata;430601.3125;99945;4308.37988281;PE;NORDESTE
1652;BAHIA;Cândido Sales;93716.921875;27180;3448.01000977;BA;NORDESTE
1653;AMAZONAS;Codajás;84273.59375;16291;5173.02001953;AM;NORTE
1654;MINAS GERAIS;Poço Fundo;125487.59375;15916;7884.37011719;MG;SUDESTE
1655;MINAS GERAIS;Timóteo;1693002.375;79813;21212.109375;MG;SUDESTE
1656;PIAUÍ;Francisco Macedo;9199.64355469;2315;3973.92993164;;
1657;SANTA CATARINA;Indaial;1083196.5;50917;21273.76953125;SC;SUL
1658;BAHIA;Cícero Dantas;119276.578125;31832;3747.07006836;BA;NORDESTE
1659;MINAS GERAIS;Alto Rio Doce;65097.45703125;12778;5094.49023438;MG;SUDESTE
1660;MINAS GERAIS;Materlândia;23538.46875;4772;4932.62011719;MG;SUDESTE
1661;PERNAMBUCO;Sanharó;82603.203125;18723;4411.85986328;PE;NORDESTE
1662;SÃO PAULO;Tapiratiba;161548.0625;12410;13017.5703125;;
1663;MARANHÃO;Santa Quitéria do Maranhão;92080.375;29551;3115.97998047;;
1664;MINAS GERAIS;Ouro Preto;2492686.75;69495;35868.578125;MG;SUDESTE
1665;CEARÁ;Parambu;103936.859375;32231;3224.75;;
1666;PARANÁ;Abatiá;55714.39453125;7928;7027.54980469;;
1667;SÃO PAULO;Orindiúva;94819.8359375;5406;17539.74023438;;
1668;BAHIA;Barra do Mendes;49816.65234375;14459;3445.37011719;BA;NORDESTE
1669;RIO GRANDE DO SUL;Capão Bonito do Sul;48154.8359375;1877;25655.2109375;RS;SUL
1670;SÃO PAULO;Vera Cruz;95465.484375;9952;9592.58984375;;
1671;RIO GRANDE DO SUL;Pareci Novo;52567.12109375;3232;16264.58007812;RS;SUL
1672;RIO GRANDE DO NORTE;Severiano Melo;26589.734375;5224;5089.91992188;RN;NORDESTE
1673;ALAGOAS;Jacaré dos Homens;30879.77734375;5902;5232.08984375;AL;NORDESTE
1674;BAHIA;Jequié;1552451.5;150541;10312.48046875;BA;NORDESTE
1675;SÃO PAULO;Pilar do Sul;293537.84375;28455;10315.86035156;;
1676;CEARÁ;Catunda;37783.76171875;11198;3374.14990234;;
1677;PARANÁ;Rio Azul;150128.484375;13760;10910.5;;
1678;CEARÁ;Varjota;76601.1171875;17802;4302.95019531;;
1679;RIO DE JANEIRO;Macaé;7057281.5;194413;36300.4609375;RJ;SUDESTE
1680;GOIÁS;Rubiataba;160824.359375;18618;8638.11035156;;
1681;PERNAMBUCO;Carnaubeira da Penha;44609.3125;12451;3582.79003906;PE;NORDESTE
1682;MINAS GERAIS;Santana do Garambéu;13781.93164062;2205;6250.31005859;MG;SUDESTE
1683;RIO DE JANEIRO;Porto Real;3502626.5;16253;215506.453125;RJ;SUDESTE
1684;CEARÁ;Tauá;242443.71875;56639;4280.50976562;;
1685;MINAS GERAIS;Resende Costa;66597.8359375;10941;6087.0;MG;SUDESTE
1686;MINAS GERAIS;Aimorés;251976.84375;24825;10150.12011719;MG;SUDESTE
1687;GOIÁS;Ouro Verde de Goiás;36711.6953125;4599;7982.54003906;;
1688;PARAÍBA;Santa Helena;24999.93164062;6198;4033.55004883;;
1689;SÃO PAULO;Turiúba;39628.15625;2040;19425.5703125;;
1690;MATO GROSSO;Diamantino;908566.25;18989;47846.98046875;MT;CENTRO-OESTE
1691;SÃO PAULO;Ribeirão Pires;1631338.625;112011;14564.08984375;;
1692;TOCANTINS;Lavandeira;12126.01464844;1683;7205.0;TO;NORTE
1693;RIO GRANDE DO SUL;Muçum;79309.03125;4685;16928.2890625;RS;SUL
1694;MATO GROSSO;Apiacás;148853.84375;8381;17760.86914062;MT;CENTRO-OESTE
1695;TOCANTINS;Abreulândia;17476.70117188;2321;7529.81982422;TO;NORTE
1696;PERNAMBUCO;Belém de Maria;37656.3515625;9703;3880.89990234;PE;NORDESTE
1697;MINAS GERAIS;Campo Florido;245850.359375;7105;34602.44140625;MG;SUDESTE
1698;SÃO PAULO;Guapiaçu;389872.96875;17938;21734.47070312;;
1699;PARAÍBA;Caaporã;286072.875;20064;14258.01953125;;
1700;SÃO PAULO;Bananal;88336.4296875;10822;8162.66992188;;
1701;SÃO PAULO;Morungaba;232642.84375;13305;17485.36914062;;
1702;PARAÍBA;Araçagi;100224.0078125;17839;5618.25;;
1703;MARANHÃO;São João do Carú;39601.421875;12511;3165.33007812;;
1704;MINAS GERAIS;Camacho;44854.86328125;3229;13891.25976562;MG;SUDESTE
1705;MINAS GERAIS;Olímpio Noronha;22509.8046875;2655;8478.26953125;MG;SUDESTE
1706;RIO GRANDE DO SUL;Chiapetta;76856.4765625;4094;18772.94921875;RS;SUL
1707;GOIÁS;São Miguel do Passa Quatro;51348.8828125;3856;13316.62011719;;
1708;PERNAMBUCO;Ipojuca;7082403.0;75512;93791.75;PE;NORDESTE
1709;CEARÁ;Uruburetama;105931.96875;20627;5135.60009766;;
1710;RIO GRANDE DO SUL;Chuvisca;69552.2109375;5159;13481.71972656;RS;SUL
1711;MARANHÃO;Conceição do Lago-Açu;48036.515625;14909;3221.97998047;;
1712;MINAS GERAIS;Ipuiúna;110897.609375;9549;11613.53027344;MG;SUDESTE
1713;BAHIA;Aporá;55787.8046875;18738;2977.26000977;BA;NORDESTE
1714;MARANHÃO;Gonçalves Dias;50201.11328125;16911;2968.55004883;;
1715;SÃO PAULO;Alfredo Marcondes;38104.7421875;4055;9396.98046875;;
1716;PARÁ;Anajás;62534.5625;27386;2283.44995117;;
1717;MINAS GERAIS;Divisa Alegre;42667.08984375;6235;6843.16015625;MG;SUDESTE
1718;BAHIA;Guaratinga;102757.34375;22960;4475.49023438;BA;NORDESTE
1719;SÃO PAULO;Serra Azul;73476.2578125;10121;7259.77978516;;
1720;PARAÍBA;Cajazeirinhas;14881.45996094;3168;4697.43017578;;
1721;PIAUÍ;Socorro do Piauí;13982.046875;4733;2954.15991211;;
1722;MATO GROSSO;Nova Marilândia;38595.01171875;2345;16458.4296875;MT;CENTRO-OESTE
1723;SÃO PAULO;Palestina;137605.546875;11354;12119.5703125;;
1724;PARAÍBA;São José dos Ramos;23567.55078125;5702;4133.20996094;;
1725;CEARÁ;Ererê;24669.0703125;7332;3364.58007812;;
1726;BAHIA;Maracás;125397.140625;35990;3484.2199707;BA;NORDESTE
1727;MINAS GERAIS;Montezuma;29338.85351562;7677;3821.65991211;MG;SUDESTE
1728;RIO GRANDE DO NORTE;Monte das Gameleiras;11909.32226562;2449;4862.93017578;RN;NORDESTE
1729;PARÁ;Ourém;49183.3671875;15841;3104.81005859;;
1730;SÃO PAULO;Nantes;86357.6171875;2662;32440.88085938;;
1731;SÃO PAULO;Campos do Jordão;546444.5625;46505;11750.23046875;;
1732;SANTA CATARINA;Paraíso;46444.15234375;4200;11058.12988281;SC;SUL
1733;MINAS GERAIS;São João da Ponte;109678.1484375;26983;4064.70996094;MG;SUDESTE
1734;PIAUÍ;José de Freitas;153536.328125;36485;4208.20019531;;
1735;PERNAMBUCO;Pesqueira;290683.65625;64454;4509.93994141;PE;NORDESTE
1736;GOIÁS;Água Limpa;24790.08984375;2111;11743.29003906;;
1737;GOIÁS;Cromínia;36729.203125;3729;9849.61035156;;
1738;AMAZONAS;Tonantins;67153.0078125;20286;3310.31005859;AM;NORTE
1739;RIO GRANDE DO NORTE;Canguaretama;144216.40625;30541;4722.06005859;RN;NORDESTE
1740;SANTA CATARINA;Biguaçu;1205661.0;56395;21378.859375;SC;SUL
1741;BAHIA;Lafaiete Coutinho;17013.38867188;3502;4858.18994141;BA;NORDESTE
1742;MINAS GERAIS;José Raydan;24955.75195312;4412;5656.33984375;MG;SUDESTE
1743;MINAS GERAIS;Maripá de Minas;19717.74804688;2981;6614.47021484;MG;SUDESTE
1744;RORAIMA;Alto Alegre;141954.3125;14205;9993.25976562;RR;NORTE
1745;PIAUÍ;Cajazeiras do Piauí;10104.80957031;3323;3040.87011719;;
1746;SANTA CATARINA;Tubarão;1591460.375;96529;16486.859375;SC;SUL
1747;SÃO PAULO;União Paulista;35924.9140625;1522;23603.75;;
1748;RIO GRANDE DO SUL;Canela;370663.5625;41115;9015.29003906;RS;SUL
1749;MINAS GERAIS;Divisa Nova;44721.078125;5828;7673.49023438;MG;SUDESTE
1750;PARANÁ;Paraíso do Norte;102151.6015625;11939;8556.12988281;;
1751;MINAS GERAIS;Oliveira;342731.84375;39214;8740.04003906;MG;SUDESTE
1752;BAHIA;Taperoá;80988.609375;19388;4177.25;BA;NORDESTE
1753;SÃO PAULO;Ipuã;204742.140625;15883;12890.65039062;;
1754;PARANÁ;Cândido de Abreu;182986.6875;18100;10109.75976562;;
1755;GOIÁS;Cristalina;901832.5;38504;23421.7890625;;
1756;RIO GRANDE DO NORTE;Macaíba;708533.8125;66380;10673.91015625;RN;NORDESTE
1757;BAHIA;Santa Luzia;51422.97265625;15613;3293.60009766;BA;NORDESTE
1758;PARANÁ;São Miguel do Iguaçu;452659.625;26451;17113.140625;;
1759;RIO GRANDE DO NORTE;Major Sales;15742.34960938;3631;4335.54003906;RN;NORDESTE
1760;MINAS GERAIS;Estiva;97946.8125;11426;8572.28027344;MG;SUDESTE
1761;MINAS GERAIS;Bandeira do Sul;31063.99609375;5330;5828.14013672;MG;SUDESTE
1762;SÃO PAULO;Cosmorama;86788.875;7033;12340.24023438;;
1763;SERGIPE;Feira Nova;32150.49804688;5875;5472.43017578;SE;NORDESTE
1764;SANTA CATARINA;Penha;252274.234375;22263;11331.54980469;SC;SUL
1765;ACRE;Santa Rosa do Purus;28091.17382812;4358;6445.89013672;AC;NORTE
1766;SÃO PAULO;Mirassolândia;34264.3203125;4396;7794.43017578;;
1767;PIAUÍ;Currais;34505.06640625;4710;7325.91992188;;
1768;TOCANTINS;Monte do Carmo;88327.65625;6723;13138.12988281;TO;NORTE
1769;GOIÁS;Palestina de Goiás;42713.81640625;3317;12877.24023438;;
1770;MINAS GERAIS;Marmelópolis;19299.72265625;3156;6115.25;MG;SUDESTE
1771;PARANÁ;Santo Antônio da Platina;426821.1875;42002;10161.9296875;;
1772;RIO GRANDE DO SUL;Fazenda Vilanova;148094.75;3248;45595.671875;RS;SUL
1773;PERNAMBUCO;Ribeirão;211137.0625;39317;5370.12011719;PE;NORDESTE
1774;PARANÁ;Cambé;1529310.625;97329;15712.79980469;;
1775;CEARÁ;Uruoca;41727.48046875;13820;3019.35009766;;
1776;SANTA CATARINA;Vargeão;61478.05078125;3685;16683.3203125;SC;SUL
1777;SÃO PAULO;São Miguel Arcanjo;371031.375;31329;11843.0703125;;
1778;ESPIRITO SANTO;Cachoeiro de Itapemirim;2399003.25;201259;11919.98046875;ES;SUDESTE
1779;RIO GRANDE DO SUL;São Martinho;78099.75;5910;13214.84960938;RS;SUL
1780;GOIÁS;São Miguel do Araguaia;217922.734375;23142;9416.75976562;;
1781;MINAS GERAIS;Tarumirim;75479.171875;14585;5175.12011719;MG;SUDESTE
1782;SÃO PAULO;Bocaina;175754.640625;11028;15937.12988281;;
1783;PARANÁ;Uraí;108368.859375;11774;9204.08007812;;
1784;RIO GRANDE DO NORTE;Doutor Severiano;26936.34179688;6616;4071.38989258;RN;NORDESTE
1785;MATO GROSSO DO SUL;Naviraí;693041.5625;45627;15189.29003906;MS;CENTRO-OESTE
1786;SÃO PAULO;Atibaia;2625614.75;126757;20713.76953125;;
1787;MINAS GERAIS;Mamonas;25831.9375;6485;3983.34008789;MG;SUDESTE
1788;PIAUÍ;São Francisco do Piauí;20146.16015625;6461;3118.12011719;;
1789;RIO GRANDE DO SUL;Vila Maria;109764.3515625;4299;25532.52929688;RS;SUL
1790;PIAUÍ;Francinópolis;17245.60742188;5458;3159.68994141;;
1791;BAHIA;Conceição do Coité;292867.1875;62893;4656.58984375;BA;NORDESTE
1792;BAHIA;Biritinga;53547.6875;14260;3755.10009766;BA;NORDESTE
1793;ESPIRITO SANTO;Conceição da Barra;401526.25;27059;14838.91992188;ES;SUDESTE
1794;BAHIA;Ibipeba;58437.6796875;17666;3307.91992188;BA;NORDESTE
1795;GOIÁS;Joviânia;82713.7421875;6914;11963.23046875;;
1796;PARAÍBA;Campina Grande;3894133.5;383764;10147.20996094;;
1797;BAHIA;Anagé;74545.8046875;25262;2950.90991211;BA;NORDESTE
1798;BAHIA;Irecê;415895.0;66061;6295.62011719;BA;NORDESTE
1799;BAHIA;Medeiros Neto;148739.390625;22752;6537.41992188;BA;NORDESTE
1800;PIAUÍ;Ilha Grande;34292.40625;8734;3926.31005859;;
1801;SÃO PAULO;Boracéia;89564.65625;4439;20176.76953125;;
1802;BAHIA;Planalto;110698.2578125;22151;4997.43994141;BA;NORDESTE
1803;GOIÁS;Ipiranga de Goiás;26288.5234375;2906;9046.29003906;;
1804;MINAS GERAIS;Baldim;67873.515625;8582;7908.81982422;MG;SUDESTE
1805;SÃO PAULO;Praia Grande;2780735.25;249551;11142.95019531;;
1806;GOIÁS;Marzagão;21822.19921875;2157;10116.91992188;;
1807;PARÁ;Porto de Moz;76142.9296875;28091;2710.58007812;;
1808;MATO GROSSO DO SUL;Costa Rica;414671.5;19228;21566.01953125;MS;CENTRO-OESTE
1809;PIAUÍ;Alvorada do Gurguéia;27634.43945312;5209;5305.12988281;;
1810;SÃO PAULO;Jardinópolis;487728.96875;37471;13016.16992188;;
1811;PARANÁ;Presidente Castelo Branco;39173.65234375;4934;7939.52978516;;
1812;PARANÁ;Curitiba;45762420.0;1851215;24720.2109375;;
1813;SÃO PAULO;Estrela d'Oeste;428017.0;9042;47336.5390625;;
1814;MINAS GERAIS;São Joaquim de Bicas;308069.5;23986;12843.71972656;MG;SUDESTE
1815;RIO GRANDE DO SUL;Coxilha;79944.40625;2997;26674.81054688;RS;SUL
1816;MINAS GERAIS;Icaraí de Minas;44507.5625;10934;4070.57006836;MG;SUDESTE
1817;SÃO PAULO;Rubiácea;57313.17578125;2661;21538.2109375;;
1818;SANTA CATARINA;Passos Maia;60104.18359375;4555;13195.20996094;SC;SUL
1819;RIO DE JANEIRO;Cambuci;168745.65625;14770;11424.88964844;RJ;SUDESTE
1820;BAHIA;Salinas da Margarida;62426.8046875;14194;4398.10986328;BA;NORDESTE
1821;ALAGOAS;Olivença;33409.52734375;10865;3074.9699707;AL;NORDESTE
1822;RIO GRANDE DO SUL;Chapada;190121.703125;9673;19654.88085938;RS;SUL
1823;TOCANTINS;Porto Alegre do Tocantins;15878.50195312;2968;5349.89990234;TO;NORTE
1824;BAHIA;Capim Grosso;121918.3125;27158;4489.22021484;BA;NORDESTE
1825;MATO GROSSO;Vale de São Domingos;32239.96875;2955;10910.30957031;MT;CENTRO-OESTE
1826;SÃO PAULO;Valparaíso;327024.03125;22514;14525.36035156;;
1827;MINAS GERAIS;Santana do Jacaré;34777.21484375;4716;7374.29980469;MG;SUDESTE
1828;SÃO PAULO;Agudos;753584.625;36188;20824.16015625;;
1829;PIAUÍ;Nossa Senhora dos Remédios;23638.20117188;8378;2821.45996094;;
1830;BAHIA;Juazeiro;1745979.625;243896;7158.70996094;BA;NORDESTE
1831;MINAS GERAIS;Lamim;16759.16015625;3654;4586.52001953;MG;SUDESTE
1832;BAHIA;Dom Basílio;84668.9140625;11620;7286.47998047;BA;NORDESTE
